274,SOCIETE COOPERATIVE VINICOLE DE JOUY LES REIMS ET PARGNY LES REIMS - SOCIETE COOPERATIVE AGRICOLE,51390;Jouy-les-Reims
275,COOPERATIVE VINICOLE "L'UNION DE VANDIERES" SOCIETE COOPERATIVE AGRICOLE A CAPITAL VARIABLE,51700;Vandières
276,ASSOCIATION COOPERATIVE DE VITICULTEURS DE PREMIERS CRUS DE LA MARNE,51160;Ay-Champagne
277,SOCIETE COOPERATIVE VINICOLE DE MARFAUX POURCY SOCIETE COOPERATIVE AGRICOLE,51170;Marfaux
278,SOCIETE COOPERATIVE VINICOLE DES VIGNERONS REUNIS DE VILLERS MARMERY SOCIETE COOPERATIVE AGRICOLE,51380;Villers-Marmery
279,COOPERATIVE VINICOLE LES GRAPPES D'OR,51190;Oger
280,CHAMPAGNE H.BLIN ET CIE S.C.,51700;Vincelles
281,SOCIETE COOPERATIVE VINICOLE DU VENDANGEOIR DE LA GRAVELLE A CERSEUIL - SOCIETE COOPERATIVE AGRICOLE,51700;Cerseuil
282,SOCIETE COOPERATIVE VINICOLE "LE BRUN DE NEUVILLE" DITE "LA CRAYERE" SOCIETE COOPERATIVE AGRICOLE,51260;Bethon
283,UNION DES PRODUCTEURS PARTICULIERS DU CENTRE VINICOLE CHAMPAGNE NICOLAS FEUILLATTE,51530;Chouilly
284,DEVAVRY Gisèle George,51160;CHAMPILLON
285,SARL ROMAIN TRIBAUT,51480;Romery
286,VIGNOBLES VOL ET CIE,51530;Chouilly
287,ALONSO Francis,51120;BARBONNE FAYEL
288,SOCIETE D'EXPLOITATION CHAMPAGNE CHARTOGNE-TAILLET,51220;Merfy
289,MANSARD Gilles Jacky,51700;MAREUIL LE PORT
290,S.A.R.L. REGIS FLINIAUX,51160;Ay-Champagne
291,BARBET,51530;Vinay
292,CHAMPAGNE FAUVET PERE ET FILS,51150;Ambonnay
293,DAMIEN HUGOT,51200;Epernay
294,SARL BARBET Rene,51700;Leuvrigny
295,UNION VINICOLE DES COTEAUX D'EPERNAY "CHAMPAGNE VINCENT D'ASTREE" SOCIETE COOPERATIVE AGRICOLE,51530;Pierry
296,SOCIETE COOPERATIVE VINICOLE DE BINSON ORQUIGNY SOCIETE COOPERATIVE AGRICOLE,51700;Binson et Orquigny
297,CHAMPAGNISATION LORAIN DIDIER ET FILS,51480;Belval sous Chatillon
298,SOCIETE COOPERATIVE VINICOLE D'AMBONNAY,51150;Ambonnay
299,COOPERATIVE VINICOLE DE MONTHELON-MORANGIS,51530;Monthelon
300,SOCIETE COOPERATIVE VINICOLE DE MISY A LEUVRIGNY - SOCIETE COOPERATIVE AGRICOLE,51700;Leuvrigny
301,SOCIETE COOPERATIVE VINICOLE "LES SIX COTEAUX" A POUILLON - SOCIETE COOPERATIVE AGRICOLE,51220;Pouillon
302,CHAMPAGNISATION CANOT MAXIME,51700;Mareuil-le-Port
303,SOCIETE COOPERATIVE AGRICOLE VINICOLE L'ECONOME DE VERNEUIL,51700;Verneuil
304,LANCELOT PHILIPPE,51530;Cramant
305,COOPERATIVE VINICOLE LE ROYAL COTEAU SOCIETE COOPERATIVE AGRICOLE VARIANTE ROYAL COTEAU,51190;Grauves
306,PRESSOIR OUDARD,51260;Bethon
307,SOCIETE DE PRODUCTEURS DE MAILLY CHAMPAGNE,51500;Mailly-champagne
308,SOCIETE COOPERATIVE VINICOLE CHAMPAGNE BEAUMONT DES CRAYERES,51530;Mardeuil
309,EURL CP CHAMPAGNISATION,51480;Venteuil
310,SOCIETE COOPERATIVE AGRICOLE VINICOLE DE NOGENT L'ABBESSE ET CERNAY-LES-REIMS.,51420;Nogent-l'Abbesse
311,COOPERATIVE VINICOLE DE VERTUS,51130;Vertus
312,Coopérative Agricole et Vinicole de Propriétaires Récoltants de VERTUS dite "LA GOUTTE D'OR",51130;Vertus
313,SOCIETE COOPERATIVE VINICOLE "LA RENAISSANCE" A BASSUET-SOCIETE COOPERATIVE AGRICOLE,51300;Bassuet
314,COOPERATIVE VINICOLE "UNION DES PRODUCTEURS DE VERTUS ET ENVIRONS",51130;Vertus
315,SOCIETE COOPERATIVE AGRICOLE VINICOLE DE VAUDEMANGE ET DE BILLY LE GRAND,51380;Vaudemange
316,SARL "J.L.P",51130;Vertus
317,Patrick DURDUX,51130;Vertus
318,SAVOYE Gérard Robert,51480;La Neuville-aux-Larris
319,UNION CHAMPAGNE,51190;Avize
320,PRESSURAGE LES RAISINS DORES,51500;Rilly-la-Montagne
321,SOCIETE CIVILE D'EXPLOITATION CHAMPAGNE ROGER MANCEAUX.,51500;Rilly-la-Montagne
322,VILSAINT,51480;Boursault
